Distribution;Founder;Maintainer;Initial release year;Current stable version;Security updates (years);Release date;System distribution commitment;Forked from;Target audience;Cost;Status;
SliTaz GNU/Linux;Christophe Lincoln;dev team;{{date|2008|iso}};Rolling;Rolling;{{date|2017-12-03|iso}};{{Proprietary|X}};–;portable;{{Free|Gratis}};{{site active}};
Solus;Ikey Doherty;dev team;{{date|2005|iso}};Rolling;Rolling;{{date|2017-08-15|iso}};{{Proprietary|X}};–;desktop;{{Free|Gratis}};{{site active}};
SolydXK;Arjen Balfoort;dev team;{{date|2013|iso}};201801;Debian packages as per Debian;{{date|2018-01-23|iso}};{{Proprietary|X}};Debian;desktop;{{Free|Gratis}};{{site active}};
Source Mage GNU/Linux;Ryan Abrams, Eric Schabell;dev team;{{date|2002|iso}};0.62-11;{{dunno}};{{date|2017-10-22|iso}};{{Partial|Source Mage Social Contract}};Sorcerer;general;{{Free|Gratis}};{{site active}};
SteamOS;Valve Corporation;Valve Corporation;{{Date|2013|iso}};2.148;{{dunno}};{{date|2018-01-23|iso}};{{Proprietary|X}};Debian;video games;{{Free|Gratis}};{{site active}};
SUSE Linux Enterprise;SUSE;Microfocus;{{date|2000|iso}};12SP3;{{dunno}};2017-09-07;{{Proprietary|X}};Slackware, Jurix;workstation, server;{{no|Commercial}}[37];{{site active}};
Tails;{{dunno}};Tails Development Team;{{date|2009|iso}};3.8;–[38];2018-06-26;{{Proprietary|X}};Debian;security-focused aimed for anonymity and privacy;{{Free|Gratis}};{{site active}};
Tiny Core Linux;Robert Shingledecker;Team Tiny Core;{{date|2009|iso}};8.2.1;{{dunno}};{{date|2017-11-07|iso}};{{Proprietary|X}};Tiny Core Linux;portable;{{Free|Gratis}};{{site active}};
Tor-ramdisk;Anthony G. Basile;dev team;{{date|2008|iso}};20151215;{{dunno}};{{date|2015-12-15|iso}};{{Proprietary|X}};Gentoo Linux Embedded, uClibc;Tor server;{{free|Gratis}};{{site active}};
Trisquel GNU/Linux;Rubén Rodríguez Pérez (quidam);Rubén Rodríguez Pérez (quidam);{{date|2005|iso}};8.0;5 years[39];{{date|2018-04-18|iso}};{{Free|100% Free: GNU FSDG}};Ubuntu LTS;desktop;{{Free|Gratis}};{{site active}};
TurnKey GNU/Linux;Alon Swartz, Liraz Siri;TurnKey GNU/Linux Team;{{date|2008|iso}};14.1;Debian packages as per Debian; TurnKey packages for life of current major version (plus backports per request);{{date|2016-04-15|iso}}[40];{{Partial|Debian Social Contract and DFSG}};Debian;server based software appliance library aiming to balance security and ease of use;{{Free|Gratis}};{{site active}};
Ubuntu and Derivatives[41];Canonical Ltd.;Canonical Ltd.;{{date|2004|iso}};18.10;Standard releases 1 year, LTS releases 5 years. Flavor LTS releases 3 or 5 years.;{{date|2018-10-18|iso}}[42];{{Proprietary|X}};Debian;general, server, desktop;{{Free|Gratis}};{{site active}};
Univention Corporate Server;Univention GmbH;Univention GmbH;{{date|2004|iso}};4.3;up to 6 months for the free Core Edition; if maintenance is purchased, it's up to 7 years, see:[43];{{date|2018-03-14|iso}};{{Proprietary|X}};Debian;home, business, and school;{{Free|Core Edition is gratis}};{{site active}};
Ututo;Diego Saravia, Daniel Olivera;UTUTO dev team;{{date|2000|iso}};XS 2012;{{dunno}};{{date|2012-04-27|iso}};{{Free|100% Free: GNU FSDG}};Ututo XS: Gentoo Linux, Ututo UL: Ubuntu;general;{{Free|Gratis}};{{site active}};
VectorLinux;Robert S. Lange;dev team;{{date|1999|iso}};7.1;{{dunno}};2015-06-27;{{Proprietary|X}};Slackware;desktop;{{free|Gratis}};{{dunno}};
Void Linux;Juan Romero Pardines;Juan RP and contributors;{{date|2008|iso}};Rolling;Rolling;{{date|2017-10-07|iso}};{{Proprietary|X}};–;general;{{free|Gratis}};{{site active}};
Webconverger;Kai Hendry;Webconverger Limited;{{date|2007|iso}};35.0;{{dunno}};{{date|2016-05-19|iso}};{{Proprietary|X}};Debian;kiosk software, digital signage;{{no|Commercial}};{{site active}};
Xandros;Xandros Incorporated;Xandros Incorporated;{{Date|2001|iso}};{{dunno}};{{dunno}};{{date|2007-07-26|iso}};{{Proprietary|X}};Corel Linux;{{dunno}};{{no|Commercial}};{{site inactive}};
Zentyal;eBox Technologies;eBox Technologies;{{date|2005|iso}};5;{{dunno}};{{date|2016-11-29|iso}};{{Proprietary|X}};Debian, Ubuntu;small business server;{{Partial|Some editions are gratis}};{{dunno}};
Zenwalk;Jean-Philippe Guillemin;dev team;{{date|2004|iso}};Rolling[44];{{dunno}};2018-03-09;{{Proprietary|X}};Slackware;general;{{free|Gratis}};{{site active}};
Distribution;Founder;Maintainer;Initial release year;Current stable version;Security updates (years);Release date;System distribution commitment;Forked from;Target audience;Cost;Status;
